Frame,Timestamp,HMD_x,HMD_y,HMD_z,HMD_rot_x,HMD_rot_y,HMD_rot_z,HandR_x,HandR_y,HandR_z,HandR_rot_x,HandR_rot_y,HandR_rot_z,HandL_x,HandL_y,HandL_z,HandL_rot_x,HandL_rot_y,HandL_rot_z,Velocity_HandR_x,Velocity_HandR_y,Velocity_HandR_z,Velocity_HandL_x,Velocity_HandL_y,Velocity_HandL_z,Distance,Zone,Status
38,0.8507,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
39,0.8691,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
40,0.8864,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
41,0.9049,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
42,0.9229,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
43,0.9418,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
44,0.9602,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
45,0.9781,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
46,0.9949,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shelf,Stop
47,1.0127,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
48,1.0345,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
49,1.0534,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
50,1.0716,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
51,1.0914,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
52,1.1096,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
53,1.1297,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
54,1.1489,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
55,1.1677,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
56,1.1855,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
57,1.2045,4.4834,0.8099,9.5502,19.5283,179.8127,4.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654,Far,Stop
